realtime_start,realtime_end,date,value
2023-12-10,2023-12-10,1991-01-01,0.9225387573242188
2023-12-10,2023-12-10,1992-01-01,0.9962213039398193
2023-12-10,2023-12-10,1993-01-01,1.0317795276641846
2023-12-10,2023-12-10,1994-01-01,1.056375503540039
2023-12-10,2023-12-10,1995-01-01,1.0277332067489624
2023-12-10,2023-12-10,1996-01-01,1.052825927734375
2023-12-10,2023-12-10,1997-01-01,1.0884363651275635
2023-12-10,2023-12-10,1998-01-01,1.0819002389907837
2023-12-10,2023-12-10,1999-01-01,1.0277293920516968
2023-12-10,2023-12-10,2000-01-01,1.008216142654419
2023-12-10,2023-12-10,2001-01-01,0.9685420393943787
2023-12-10,2023-12-10,2002-01-01,0.8857888579368591
2023-12-10,2023-12-10,2003-01-01,0.9437744617462158
2023-12-10,2023-12-10,2004-01-01,0.9847308993339539
2023-12-10,2023-12-10,2005-01-01,1.0246684551239014
2023-12-10,2023-12-10,2006-01-01,1.0651098489761353
2023-12-10,2023-12-10,2007-01-01,1.1034621000289917
2023-12-10,2023-12-10,2008-01-01,1.1001930236816406
2023-12-10,2023-12-10,2009-01-01,1.02462899684906
2023-12-10,2023-12-10,2010-01-01,1.0851496458053589
2023-12-10,2023-12-10,2011-01-01,1.1026209592819214
2023-12-10,2023-12-10,2012-01-01,1.065419316291809
2023-12-10,2023-12-10,2013-01-01,1.0614420175552368
2023-12-10,2023-12-10,2014-01-01,1.016845703125
2023-12-10,2023-12-10,2015-01-01,1.0144320726394653
2023-12-10,2023-12-10,2016-01-01,1.0004677772521973
2023-12-10,2023-12-10,2017-01-01,1.0
2023-12-10,2023-12-10,2018-01-01,0.9619845747947693
2023-12-10,2023-12-10,2019-01-01,0.9294748306274414
