realtime_start,realtime_end,date,value
2023-12-10,2023-12-10,1991-01-01,0.6902689933776855
2023-12-10,2023-12-10,1992-01-01,0.6953316926956177
2023-12-10,2023-12-10,1993-01-01,0.6979237198829651
2023-12-10,2023-12-10,1994-01-01,0.7170395255088806
2023-12-10,2023-12-10,1995-01-01,0.7423241138458252
2023-12-10,2023-12-10,1996-01-01,0.7631754279136658
2023-12-10,2023-12-10,1997-01-01,0.7565203309059143
2023-12-10,2023-12-10,1998-01-01,0.7652732729911804
2023-12-10,2023-12-10,1999-01-01,0.7889693379402161
2023-12-10,2023-12-10,2000-01-01,0.7764887809753418
2023-12-10,2023-12-10,2001-01-01,0.7707542777061462
2023-12-10,2023-12-10,2002-01-01,0.7613486647605896
2023-12-10,2023-12-10,2003-01-01,0.7810733318328857
2023-12-10,2023-12-10,2004-01-01,0.7966672778129578
2023-12-10,2023-12-10,2005-01-01,0.8159976005554199
2023-12-10,2023-12-10,2006-01-01,0.8350074291229248
2023-12-10,2023-12-10,2007-01-01,0.8454570770263672
2023-12-10,2023-12-10,2008-01-01,0.8259232044219971
2023-12-10,2023-12-10,2009-01-01,0.8444944024085999
2023-12-10,2023-12-10,2010-01-01,0.8656843304634094
2023-12-10,2023-12-10,2011-01-01,0.8601872324943542
2023-12-10,2023-12-10,2012-01-01,0.8662140369415283
2023-12-10,2023-12-10,2013-01-01,0.872219979763031
2023-12-10,2023-12-10,2014-01-01,0.903348445892334
2023-12-10,2023-12-10,2015-01-01,0.9390713572502136
2023-12-10,2023-12-10,2016-01-01,0.9766008257865906
2023-12-10,2023-12-10,2017-01-01,1.0
2023-12-10,2023-12-10,2018-01-01,1.0159906148910522
2023-12-10,2023-12-10,2019-01-01,1.017461895942688
